tid,age,sex,num_hh,num_dep,num_br,income,rent,total_trans,late_trans
t0038033,55,F,1,0,1,9044,226,12,0
t0007981,64,M,1,0,1,8168,204,55,15
t0015568,58,F,1,0,1,9404,235,45,16
t0016464,65,M,2,0,2,9272,232,23,8
t0016029,65,M,1,0,1,12200,305,48,7
t0007447,59,M,1,0,1,9368,234,25,11
t0007917,73,M,1,0,1,9260,232,50,18
t0016577,66,M,1,0,1,21575,539,40,0
t0008349,65,M,1,0,1,5563,139,11,0
t0007957,70,F,1,0,2,9404,235,51,0
t0007913,70,F,1,0,1,17685,442,50,19
t0007879,65,F,1,0,1,11372,284,50,1
t0024841,59,F,1,0,1,9884,247,34,10
t0007903,67,M,1,0,1,9020,226,64,19
